wallet,archetype,coin,dir,qty,entry_ts,entry_px,exit_ts,exit_px,gross_pnl,fees,net_pnl,hold_s,exit_reason
0x847bd1ef4fede0fe191129894d63044843f4d473,scalper,xyz:MU,short,0.43555038900708715,1786717500000,969.4550300000001,1786717500000,970.42497,-0.42245774431351296,0.49776573600920787,-0.9202234803227208,0.0,source_partial_close
0x847bd1ef4fede0fe191129894d63044843f4d473,scalper,xyz:MU,short,0.051019233967390325,1786717500000,969.4550300000001,1786717560000,971.035275,-0.08062288938079246,0.13611584094984272,-0.21673873033063518,60.0,source_partial_close
0x847bd1ef4fede0fe191129894d63044843f4d473,scalper,xyz:MU,short,0.005471924471763462,1786717500000,969.4550300000001,1786717560000,971.035275,-0.00864698128688118,0.0187319641424559,-0.02737894542933708,60.0,source_partial_close
0x847bd1ef4fede0fe191129894d63044843f4d473,scalper,xyz:MU,short,0.009903412600304296,1786717500000,969.4550300000001,1786717560000,971.035275,-0.015649818244566644,0.03501663791864082,-0.05066645616320747,60.0,source_partial_close
0x847bd1ef4fede0fe191129894d63044843f4d473,scalper,xyz:MU,short,0.049049141894781156,1786717500000,969.4550300000001,1786717560000,971.035275,-0.07750966123351243,0.18455322425295886,-0.2620628854864713,60.0,source_partial_close
0x847bd1ef4fede0fe191129894d63044843f4d473,scalper,xyz:MU,short,0.016674506262546813,1786717500000,969.4550300000001,1786717560000,971.035275,-0.02634980514885624,0.0942708743081275,-0.12062067945698374,60.0,source_partial_close
0x847bd1ef4fede0fe191129894d63044843f4d473,scalper,xyz:MU,short,0.005548993830520701,1786717500000,969.4550300000001,1786717560000,971.035275,-0.008768769755710504,0.03830795802326047,-0.04707672777897098,60.0,source_partial_close
0x847bd1ef4fede0fe191129894d63044843f4d473,scalper,xyz:MU,short,0.001026463437451563,1786717500000,969.4550300000001,1786717620000,971.7956549999999,-0.002402565983284878,0.007661791499780516,-0.010064357483065393,120.0,source_partial_close
0x847bd1ef4fede0fe191129894d63044843f4d473,scalper,xyz:MU,short,0.003013771645120354,1786717500000,969.4550300000001,1786717620000,971.7956549999999,-0.007054109256859281,0.022840558903213168,-0.029894668160072448,120.0,source_partial_close
0x847bd1ef4fede0fe191129894d63044843f4d473,scalper,xyz:MU,short,0.0011924297457493464,1786717500000,969.4550300000001,1786717620000,971.7956549999999,-0.0027910308736443473,0.009464846609520579,-0.012255877483164927,120.0,source_partial_close
0x847bd1ef4fede0fe191129894d63044843f4d473,scalper,xyz:MU,short,0.008666533084154946,1786717500000,969.4550300000001,1786717620000,971.7956549999999,-0.020285104000098593,0.07010815867039395,-0.09039326267049254,120.0,source_partial_close
0x847bd1ef4fede0fe191129894d63044843f4d473,scalper,xyz:MU,short,0.0015950377505838595,1786717500000,969.4550300000001,1786717680000,968.3839499999999,0.0017084130338956241,0.015010349835347948,-0.013301936801452323,180.0,source_partial_close
0x847bd1ef4fede0fe191129894d63044843f4d473,scalper,xyz:MU,short,0.0030135373423652327,1786717500000,969.4550300000001,1786717680000,968.3839499999999,0.003227739576661052,0.029248014016026717,-0.026020274439365665,180.0,source_partial_close
0x847bd1ef4fede0fe191129894d63044843f4d473,scalper,xyz:MU,short,0.000580717627639754,1786717500000,969.4550300000001,1786717740000,966.92322,0.0014702666968346427,0.005992084693912916,-0.004521817997078273,240.0,source_partial_close
0x847bd1ef4fede0fe191129894d63044843f4d473,scalper,xyz:MU,short,0.018567478281068403,1786717500000,969.4550300000001,1786717740000,966.92322,0.04700932718679298,0.19395766134055897,-0.14694833415376599,240.0,source_partial_close
0x847bd1ef4fede0fe191129894d63044843f4d473,scalper,xyz:MU,short,0.00010840062382608785,1786717500000,969.4550300000001,1786717740000,966.92322,0.00027444978340913445,0.001896083848971156,-0.0016216340655620216,240.0,source_partial_close
0x847bd1ef4fede0fe191129894d63044843f4d473,scalper,xyz:MU,short,8.826907940124046e-05,1786717500000,969.4550300000001,1786717740000,966.92322,0.00022348053791886025,0.0015501653588174584,-0.001326684820898598,240.0,source_partial_close
0x847bd1ef4fede0fe191129894d63044843f4d473,scalper,xyz:MU,short,7.897759735900403e-05,1786717500000,969.4550300000001,1786717740000,966.92322,0.00019995627076950506,0.0013915494703111604,-0.0011915931995416552,240.0,source_partial_close
0x847bd1ef4fede0fe191129894d63044843f4d473,scalper,xyz:MU,short,7.123469565714219e-05,1786717500000,969.4550300000001,1786717740000,966.92322,0.00018035271481171372,0.0012588261487816719,-0.0010784734339699582,240.0,source_partial_close
0x847bd1ef4fede0fe191129894d63044843f4d473,scalper,xyz:MU,short,2.4777285445960112e-05,1786717500000,969.4550300000001,1786717740000,966.92322,6.273137906493787e-05,0.0004390210320222238,-0.0003762896529572859,240.0,source_partial_close
0x847bd1ef4fede0fe191129894d63044843f4d473,scalper,xyz:MU,short,2.1680124765216475e-05,1786717500000,969.4550300000001,1786717740000,966.92322,5.488995668182411e-05,0.00038450033346733385,-0.00032961037678550973,240.0,source_partial_close
0x847bd1ef4fede0fe191129894d63044843f4d473,scalper,xyz:MU,short,2.013154442484741e-05,1786717500000,969.4550300000001,1786717740000,966.92322,5.0969245490274206e-05,0.0003573265483153059,-0.0003063573028250317,240.0,source_partial_close
0x847bd1ef4fede0fe191129894d63044843f4d473,scalper,xyz:MU,short,1.7034383744098265e-05,1786717500000,969.4550300000001,1786717740000,966.92322,4.3127823107146524e-05,0.00030258186986396803,-0.0002594540467568215,240.0,source_partial_close
0x847bd1ef4fede0fe191129894d63044843f4d473,scalper,xyz:MU,short,0.0005807176276397541,1786717500000,969.4550300000001,1786717740000,966.92322,0.001470266696834643,0.010321895751659057,-0.008851629054824414,240.0,source_partial_close
0x847bd1ef4fede0fe191129894d63044843f4d473,scalper,xyz:MU,short,0.0012620929774037313,1786717500000,969.4550300000001,1786717740000,966.92322,0.003195379621120622,0.022933799707230258,-0.019738420086109636,240.0,source_partial_close
