signal_bucket,entry_time,exit_time,side,entry_price,exit_price,qty,gross_pnl_usd,fees_usd,net_pnl_usd,hold_s
2026-07-14T07:00:00+00:00,2026-07-14T09:00:00+00:00,2026-07-14T15:00:00+00:00,long,62719.34,64261.85,0.01594404,24.5938,0.9111,23.6828,21600
2026-07-15T15:00:00+00:00,2026-07-15T17:00:00+00:00,2026-07-15T23:00:00+00:00,long,65140.55,64811.58,0.01535142,-5.0502,0.8977,-5.9480,21600
2026-07-16T05:00:00+00:00,2026-07-16T07:00:00+00:00,2026-07-16T13:00:00+00:00,long,64791.38,63914.03,0.01543415,-13.5412,0.8939,-14.4351,21600
2026-07-17T12:00:00+00:00,2026-07-17T14:00:00+00:00,2026-07-17T20:00:00+00:00,long,63212.59,64120.92,0.01581963,14.3695,0.9065,13.4630,21600
2026-07-17T22:00:00+00:00,2026-07-18T00:00:00+00:00,2026-07-18T06:00:00+00:00,long,63958.96,63911.03,0.01563503,-0.7495,0.8997,-1.6491,21600
2026-07-18T17:00:00+00:00,2026-07-18T19:00:00+00:00,2026-07-19T01:00:00+00:00,long,64546.26,64733.62,0.01549277,2.9027,0.9013,2.0014,21600
2026-07-19T17:00:00+00:00,2026-07-19T19:00:00+00:00,2026-07-20T01:00:00+00:00,long,64443.21,64506.73,0.01551754,0.9858,0.9004,0.0853,21600
2026-07-20T06:00:00+00:00,2026-07-20T08:00:00+00:00,2026-07-20T14:00:00+00:00,long,64273.12,64293.84,0.01555860,0.3223,0.9001,-0.5778,21600
2026-07-20T19:00:00+00:00,2026-07-20T21:00:00+00:00,2026-07-21T03:00:00+00:00,long,65381.67,65348.31,0.01529481,-0.5103,0.8998,-1.4101,21600
2026-07-21T01:00:00+00:00,2026-07-21T03:00:00+00:00,2026-07-21T09:00:00+00:00,long,65413.69,66161.90,0.01528732,11.4382,0.9051,10.5330,21600
2026-07-22T17:00:00+00:00,2026-07-22T19:00:00+00:00,2026-07-23T01:00:00+00:00,long,65898.93,65993.99,0.01517475,1.4424,0.9006,0.5418,21600
2026-07-24T01:00:00+00:00,2026-07-24T03:00:00+00:00,2026-07-24T09:00:00+00:00,long,65126.55,65252.36,0.01535472,1.9318,0.9009,1.0309,21600
2026-07-25T13:00:00+00:00,2026-07-25T15:00:00+00:00,2026-07-25T21:00:00+00:00,long,64229.10,64276.85,0.01556927,0.7434,0.9003,-0.1569,21600
